iteration,alg_id,alg_name,jobs_done,jobs_total,elapsed,delta
0,1,B-all,10000,583247,6,6
0,1,B-all,20000,583247,13,6
0,1,B-all,30000,583247,20,6
0,1,B-all,40000,583247,26,6
0,1,B-all,50000,583247,33,6
0,1,B-all,60000,583247,39,6
0,1,B-all,70000,583247,46,6
0,1,B-all,80000,583247,52,6
0,1,B-all,90000,583247,59,6
0,1,B-all,100000,583247,66,6
0,1,B-all,110000,583247,73,6
0,1,B-all,120000,583247,80,6
0,1,B-all,130000,583247,87,6
0,1,B-all,140000,583247,94,7
0,1,B-all,150000,583247,101,6
0,1,B-all,160000,583247,108,6
0,1,B-all,170000,583247,115,6
0,1,B-all,180000,583247,122,7
0,1,B-all,190000,583247,129,6
0,1,B-all,200000,583247,135,6
0,1,B-all,210000,583247,142,7
0,1,B-all,220000,583247,149,6
0,1,B-all,230000,583247,156,6
0,1,B-all,240000,583247,163,6
0,1,B-all,250000,583247,170,6
0,1,B-all,260000,583247,176,6
0,1,B-all,270000,583247,185,8
0,1,B-all,280000,583247,192,6
0,1,B-all,290000,583247,199,6
0,1,B-all,300000,583247,205,6
0,1,B-all,310000,583247,212,6
0,1,B-all,320000,583247,219,6
0,1,B-all,330000,583247,225,6
0,1,B-all,340000,583247,232,6
0,1,B-all,350000,583247,239,6
0,1,B-all,360000,583247,246,6
0,1,B-all,370000,583247,252,6
0,1,B-all,380000,583247,259,7
0,1,B-all,390000,583247,266,6
0,1,B-all,400000,583247,273,6
0,1,B-all,410000,583247,280,6
0,1,B-all,420000,583247,287,6
0,1,B-all,430000,583247,293,6
0,1,B-all,440000,583247,300,6
0,1,B-all,450000,583247,307,6
0,1,B-all,460000,583247,314,7
0,1,B-all,470000,583247,321,6
0,1,B-all,480000,583247,328,6
0,1,B-all,490000,583247,334,6
0,1,B-all,500000,583247,341,6
0,1,B-all,510000,583247,348,6
0,1,B-all,520000,583247,354,6
0,1,B-all,530000,583247,361,6
0,1,B-all,540000,583247,368,6
0,1,B-all,550000,583247,375,6
0,1,B-all,560000,583247,381,6
0,1,B-all,570000,583247,388,6
0,1,B-all,580000,583247,395,6
1,1,B-all,6753,583247,4,4
1,1,B-all,16753,583247,11,6
1,1,B-all,26753,583247,17,6
1,1,B-all,36753,583247,24,6
1,1,B-all,46753,583247,31,6
1,1,B-all,56753,583247,37,6
1,1,B-all,66753,583247,44,6
1,1,B-all,76753,583247,50,6
1,1,B-all,86753,583247,57,6
1,1,B-all,96753,583247,64,6
1,1,B-all,106753,583247,70,6
1,1,B-all,116753,583247,77,6
1,1,B-all,126753,583247,84,6
1,1,B-all,136753,583247,91,6
1,1,B-all,146753,583247,98,6
1,1,B-all,156753,583247,104,6
1,1,B-all,166753,583247,111,6
1,1,B-all,176753,583247,117,6
1,1,B-all,186753,583247,124,6
1,1,B-all,196753,583247,131,6
1,1,B-all,206753,583247,138,6
1,1,B-all,216753,583247,144,6
1,1,B-all,226753,583247,151,6
1,1,B-all,236753,583247,158,6
1,1,B-all,246753,583247,165,6
1,1,B-all,256753,583247,172,6
1,1,B-all,266753,583247,178,6
1,1,B-all,276753,583247,185,6
1,1,B-all,286753,583247,192,6
1,1,B-all,296753,583247,199,6
1,1,B-all,306753,583247,205,6
1,1,B-all,316753,583247,211,6
1,1,B-all,326753,583247,218,6
1,1,B-all,336753,583247,224,6
1,1,B-all,346753,583247,231,6
1,1,B-all,356753,583247,237,6
1,1,B-all,366753,583247,243,6
1,1,B-all,376753,583247,250,6
1,1,B-all,386753,583247,257,6
1,1,B-all,396753,583247,263,6
1,1,B-all,406753,583247,269,6
1,1,B-all,416753,583247,276,6
1,1,B-all,426753,583247,282,6
1,1,B-all,436753,583247,288,6
1,1,B-all,446753,583247,295,6
1,1,B-all,456753,583247,302,6
1,1,B-all,466753,583247,316,14
1,1,B-all,476753,583247,323,6
1,1,B-all,486753,583247,329,6
1,1,B-all,496753,583247,336,6
1,1,B-all,506753,583247,342,6
1,1,B-all,516753,583247,348,6
1,1,B-all,526753,583247,355,6
1,1,B-all,536753,583247,361,6
1,1,B-all,546753,583247,368,6
1,1,B-all,556753,583247,374,6
1,1,B-all,566753,583247,381,6
1,1,B-all,576753,583247,387,6
2,1,B-all,3506,583247,2,2
2,1,B-all,13506,583247,8,6
2,1,B-all,23506,583247,15,6
2,1,B-all,33506,583247,21,6
2,1,B-all,43506,583247,28,6
2,1,B-all,53506,583247,34,6
2,1,B-all,63506,583247,40,6
2,1,B-all,73506,583247,47,6
2,1,B-all,83506,583247,54,6
2,1,B-all,93506,583247,61,7
2,1,B-all,103506,583247,68,6
2,1,B-all,113506,583247,74,6
2,1,B-all,123506,583247,81,6
2,1,B-all,133506,583247,88,6
2,1,B-all,143506,583247,95,6
2,1,B-all,153506,583247,101,6
2,1,B-all,163506,583247,108,6
2,1,B-all,173506,583247,115,6
2,1,B-all,183506,583247,122,6
2,1,B-all,193506,583247,129,6
2,1,B-all,203506,583247,135,6
2,1,B-all,213506,583247,142,6
2,1,B-all,223506,583247,149,6
2,1,B-all,233506,583247,155,6
2,1,B-all,243506,583247,162,6
2,1,B-all,253506,583247,169,6
2,1,B-all,263506,583247,176,6
2,1,B-all,273506,583247,183,6
2,1,B-all,283506,583247,190,6
2,1,B-all,293506,583247,196,6
2,1,B-all,303506,583247,203,6
