iteration,alg_id,alg_name,jobs_done,jobs_total,elapsed,delta
0,4,Q-phases,10000,395075,60,60
0,4,Q-phases,20000,395075,114,54
0,4,Q-phases,30000,395075,163,48
0,4,Q-phases,40000,395075,210,47
0,4,Q-phases,50000,395075,258,48
0,4,Q-phases,60000,395075,306,47
0,4,Q-phases,70000,395075,353,47
0,4,Q-phases,80000,395075,401,47
0,4,Q-phases,90000,395075,448,46
0,4,Q-phases,100000,395075,494,46
0,4,Q-phases,110000,395075,541,46
0,4,Q-phases,120000,395075,588,46
0,4,Q-phases,130000,395075,634,46
0,4,Q-phases,140000,395075,682,47
0,4,Q-phases,150000,395075,729,47
0,4,Q-phases,160000,395075,778,48
0,4,Q-phases,170000,395075,826,48
0,4,Q-phases,180000,395075,874,48
0,4,Q-phases,190000,395075,923,48
0,4,Q-phases,200000,395075,971,48
0,4,Q-phases,210000,395075,1020,48
0,4,Q-phases,220000,395075,1068,48
0,4,Q-phases,230000,395075,1117,48
0,4,Q-phases,240000,395075,1165,47
0,4,Q-phases,250000,395075,1212,46
0,4,Q-phases,260000,395075,1259,47
0,4,Q-phases,270000,395075,1306,47
0,4,Q-phases,280000,395075,1353,46
0,4,Q-phases,290000,395075,1403,49
0,4,Q-phases,300000,395075,1453,50
0,4,Q-phases,310000,395075,1504,50
0,4,Q-phases,320000,395075,1554,49
0,4,Q-phases,330000,395075,1603,49
0,4,Q-phases,340000,395075,1651,48
0,4,Q-phases,350000,395075,1699,47
0,4,Q-phases,360000,395075,1746,47
0,4,Q-phases,370000,395075,1792,46
0,4,Q-phases,380000,395075,1839,46
0,4,Q-phases,390000,395075,1888,48
1,4,Q-phases,4925,395075,23,23
1,4,Q-phases,14925,395075,70,47
1,4,Q-phases,24925,395075,118,47
1,4,Q-phases,34925,395075,167,49
1,4,Q-phases,44925,395075,217,49
1,4,Q-phases,54925,395075,266,49
1,4,Q-phases,64925,395075,315,49
1,4,Q-phases,74925,395075,365,49
1,4,Q-phases,84925,395075,414,49
1,4,Q-phases,94925,395075,464,49
